;Festuca pallescens;Hieracium flagellare;Jarava humilis;Armeria maritima;Azorella monantha;Cerastium arvense;Leuceria purpurea;Mulguraea tridens;Azorella toninii;Acaena caespitosa;Huanaca acaulis;Taraxacum officinale;Senecio patagonicus;Benthamiella azorella;Bromus coloratus;Hordeum comosum;Calceolaria polyrrhiza;Juncus balticus;Juncus scheuchzerioides;Hepáticas
C1801;3;2;2;r;r;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1802;0;0;3;0;0;+;r;4;0;0;0;0;0;0;0;0;0;0;0;0
C1803;3;2;2;r;r;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1804;3;0;3;r;r;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1805;2;2;4;0;0;0;0;0;+;2;0;0;0;0;0;0;0;0;0;0
C1806;3;0;0;0;0;+;0;4;0;0;+;0;0;0;0;0;0;0;0;0
C1807;0;2;0;0;0;+;0;4;0;0;0;1;0;0;0;0;0;0;0;0
C1808;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
C1809;3;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
C1810;3;0;2;0;0;+;0;0;0;0;0;0;3;0;0;0;0;0;0;0
C1811;3;0;0;0;0;+;0;0;0;0;0;0;0;2;0;0;0;0;0;0
C1812;3;0;2;0;0;+;0;0;0;0;0;1;0;2;0;0;0;0;0;0
C1813;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1814;0;0;3;+;0;+;r;0;0;0;0;0;3;0;0;0;0;0;0;0
C1815;0;2;0;0;0;0;0;4;0;0;+;0;0;0;0;0;0;0;0;0
C1816;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
C1817;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1818;3;2;0;0;0;0;0;4;0;0;+;1;0;2;0;0;0;0;0;0
C1819;3;2;0;0;0;0;0;4;0;0;+;r;0;0;0;0;0;0;0;0
C1820;3;2;0;0;0;0;0;0;0;0;0;r;2;0;0;0;0;0;0;0
C1901;3;0;2;r;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1902;0;0;0;0;0;+;r;5;0;0;0;0;0;0;0;0;0;0;0;0
C1903;3;0;2;r;+;0;0;0;0;0;0;0;0;0;r;0;0;0;0;0
C1904;3;0;3;r;+;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
