sitio;zona;tiempo
C1801;cabecera;18
C1802;cabecera;18
C1803;cabecera;18
C1804;cabecera;18
C1805;cabecera;18
C1806;cabecera;18
C1807;cabecera;18
C1808;cabecera;18
C1809;cabecera;18
C1810;cabecera;18
C1811;cabecera;18
C1812;cabecera;18
C1813;cabecera;18
C1814;cabecera;18
C1815;cabecera;18
C1816;cabecera;18
C1817;cabecera;18
C1818;cabecera;18
C1819;cabecera;18
C1820;cabecera;18
C1901;cabecera;19
C1902;cabecera;19
C1903;cabecera;19
C1904;cabecera;19
C1905;cabecera;19
C1906;cabecera;19
C1907;cabecera;19
C1908;cabecera;19
C1909;cabecera;19
C1910;cabecera;19
C1911;cabecera;19
C1912;cabecera;19
C1913;cabecera;19
C1914;cabecera;19
C1915;cabecera;19
C1916;cabecera;19
C1917;cabecera;19
C1918;cabecera;19
C1919;cabecera;19
C1920;cabecera;19
L1801;ladera;18
L1802;ladera;18
L1803;ladera;18
L1804;ladera;18
L1805;ladera;18
L1806;ladera;18
L1807;ladera;18
L1808;ladera;18
L1809;ladera;18
L1810;ladera;18
L1811;ladera;18
L1812;ladera;18
L1813;ladera;18
L1814;ladera;18
L1815;ladera;18
L1816;ladera;18
L1817;ladera;18
L1818;ladera;18
L1819;ladera;18
L1820;ladera;18
L1901;ladera;19
L1902;ladera;19
L1903;ladera;19
L1904;ladera;19
L1905;ladera;19
L1906;ladera;19
L1907;ladera;19
L1908;ladera;19
L1909;ladera;19
L1910;ladera;19
L1911;ladera;19
L1912;ladera;19
L1913;ladera;19
L1914;ladera;19
L1915;ladera;19
L1916;ladera;19
L1917;ladera;19
L1918;ladera;19
L1919;ladera;19
L1920;ladera;19
H1801;humedo;18
H1802;humedo;18
H1803;humedo;18
H1804;humedo;18
H1805;humedo;18
H1806;humedo;18
H1807;humedo;18
H1808;humedo;18
H1809;humedo;18
H1810;humedo;18
H1811;humedo;18
H1812;humedo;18
H1813;humedo;18
H1814;humedo;18
H1815;humedo;18
H1816;humedo;18
H1817;humedo;18
H1818;humedo;18
H1819;humedo;18
H1820;humedo;18
H1901;humedo;19
H1902;humedo;19
H1903;humedo;19
H1904;humedo;19
H1905;humedo;19
H1906;humedo;19
H1907;humedo;19
H1908;humedo;19
H1909;humedo;19
H1910;humedo;19
H1911;humedo;19
H1912;humedo;19
H1913;humedo;19
H1914;humedo;19
H1915;humedo;19
H1916;humedo;19
H1917;humedo;19
H1918;humedo;19
H1919;humedo;19
H1920;humedo;19
